positive,negative,label
38.73,-33.450,0
17.37,-11.21,1
66.870,-34.690,1
10.41,-2.53,0
55.970,-40.490,0
5.39,-8.39,0
46.36,-37.49,0
13.69,-23.820,0
8.72,-4.380,0
17.870,-9.02,1
2.35,-3.05,1
50.76,-49.130,0
3.57,-7.52,0
97.040,-37.170,1
24.070,-7.75,1
9.86,-6.76,0
5.13,-2.35,1
27.67,-26.50,0
31.330,-23.73,1
5.45,-10.90,0
10.87,-11.61,0
16.45,-7.33,1
35.100,-7.440,1
95.440,-66.860,1
15.360,-20.21,0
16.59,-11.81,0
9.43,-11.390,0
74.660,-49.31,1
164.740,-139.020,0
57.17,-44.780,0
25.88,-8.87,1
15.03,-8.46,0
61.950,-12.510,1
38.400,-16.44,0
50.03,-19.150,1
3.99,-9.30,0
83.220,-76.670,0
57.260,-29.750,0
8.25,-18.020,0
8.43,-2.27,1
5.61,-1.83,0
30.300,-32.940,0
79.150,-55.370,0
2.72,-4.32,0
2.90,-1.76,0
13.040,-11.620,0
13.97,-2.41,1
21.21,-12.000,0
81.34,-23.850,0
29.89,-9.26,1
12.30,-4.92,0
27.78,-0.60,1
13.58,-18.990,0
40.32,-47.83,0
70.800,-30.13,0
28.810,-5.73,0
6.57,-5.31,1
4.790,-2.06,1
70.180,-24.56,1
10.28,-3.17,0
43.870,-35.110,0
26.980,-11.620,0
28.03,-45.800,0
19.970,-32.40,0
13.69,-4.92,0
5.22,-2.430,1
7.81,-3.520,1
1.910,-5.36,0
52.96,-12.97,0
310.570,-102.080,1
108.720,-52.260,1
11.670,-5.45,1
53.87,-50.010,0
23.320,-23.130,0
6.27,-8.73,0
87.820,-75.900,1
22.500,-20.600,0
20.60,-15.44,1
23.86,-9.410,1
91.450,-80.670,0
82.800,-14.57,1
32.610,-16.10,0
5.50,-6.23,0
0.12,-3.96,0
34.600,-18.180,1
21.80,-10.42,0
3.12,-0.21,0
75.11,-25.440,1
14.10,-12.460,0
49.440,-49.580,0
19.620,-11.020,0
36.090,-31.050,1
21.100,-9.74,0
53.67,-21.760,1
48.440,-60.600,0
37.42,-9.630,1
33.990,-19.770,0
9.87,-4.010,1
46.08,-17.87,1
6.32,-2.45,1
88.460,-96.37,0
2.78,-4.75,1
10.20,-5.52,0
54.72,-45.230,0
13.060,-8.19,0
38.55,-25.57,1
15.63,-6.82,0
67.900,-38.55,0
22.71,-6.410,0
90.790,-89.560,0
31.39,-18.57,0
97.980,-59.790,1
25.85,-8.26,1
6.410,-11.34,0
17.160,-18.750,0
52.76,-15.44,1
17.470,-15.03,1
8.99,-19.890,0
44.240,-20.300,1
66.01,-35.80,1
109.780,-99.570,0
5.14,-3.37,1
64.360,-23.13,1
16.60,-12.56,1
9.66,-1.07,1
16.950,-27.66,1
87.77,-136.960,0
6.710,-0.88,1
14.940,-13.78,0
5.13,-0.1,1
139.640,-80.510,0
208.08,-94.650,1
10.35,-4.630,0
20.63,-13.23,0
47.460,-30.52,0
36.74,-27.93,0
10.80,-6.75,1
14.79,-6.32,1
177.290,-116.750,1
74.260,-74.400,0
35.78,-37.900,0
39.09,-13.780,1
72.69,-39.140,0
67.160,-49.260,0
144.250,-51.030,1
45.32,-35.540,0
0.26,-1.89,0
30.820,-19.940,1
65.71,-46.79,0
132.080,-91.480,0
32.33,-7.27,1
135.850,-48.140,1
37.410,-18.33,1
27.360,-15.01,1
30.46,-46.220,0
7.34,-2.54,0
2.41,-3.60,0
32.19,-26.060,0
13.18,-14.31,0
26.61,-11.05,1
23.56,-8.73,1
11.760,-9.24,0
11.440,-3.90,0
20.80,-8.910,0
204.430,-170.760,0
36.570,-33.76,0
145.530,-64.78,0
18.670,-16.130,1
4.43,-3.540,0
33.78,-15.11,1
0,0,0
47.02,-27.980,1
23.35,-8.170,1
99.12,-55.670,1
6.52,-0.69,1
16.30,-14.30,1
20.15,-17.91,0
78.170,-44.960,1
14.590,-8.95,0
30.900,-30.640,0
33.760,-13.85,1
26.71,-6.93,1
50.05,-45.370,0
11.000,-1.11,1
40.880,-9.830,1
5.99,-1.32,1
45.33,-12.38,1
58.83,-27.670,0
3.16,-0.46,1
34.96,-24.430,0
48.140,-55.740,0
28.41,-24.300,1
86.22,-66.630,0
6.29,-0.95,1
65.250,-24.760,0
18.02,-30.08,0
21.02,-20.33,0
12.64,-1.10,1
45.32,-34.700,1
46.89,-11.32,1
15.70,-11.68,0
1.45,-5.04,0
29.59,-8.90,1
1.76,-1.240,1
20.26,-10.350,0
20.25,-1.960,1
9.02,-12.29,0
11.31,-15.22,0
12.41,-0.98,0
46.860,-22.370,0
27.92,-12.780,1
31.58,-24.21,1
12.87,-4.390,0
41.07,-39.19,0
44.99,-25.20,1
11.33,-1.03,1
29.29,-6.41,1
31.050,-7.99,0
6.22,-0.78,1
25.69,-12.82,0
11.97,-11.510,0
10.29,-1.82,1
26.67,-12.70,1
53.34,-8.35,1
1.19,-3.34,1
9.58,-28.14,0
47.40,-73.53,0
26.20,-7.38,0
10.72,-4.56,1
32.810,-24.00,0
17.13,-1.97,1
22.940,-21.72,0
65.520,-47.800,0
12.39,-2.77,1
6.880,-0.29,1
20.23,-16.92,0
6.26,-1.51,0
44.950,-14.45,1
54.13,-20.73,0
13.770,-27.720,0
70.590,-60.170,0
3.520,-4.58,0
5.02,-3.71,0
38.16,-10.71,0
42.300,-64.090,0
37.38,-12.57,1
23.370,-8.32,1
